"Inclui transações da Amazon Marketplace, Fulfillment by Amazon (FBA), e Amazon Webstore"
"Todas as quantias em BRL, a menos que especificado"
"Definições:"
"Imposto de vendas coletados: Inclui impostos sobre vendas coletados de compradores para vendas de produtos, envio e embalagem para presente."
"Tarifas de venda: Inclui tarifas de fechamento variável e tarifas de referência."
"Outras taxas de transação: Inclui cobranças retroativas de envio, retenção de envi, taxas por item e taxas de coleta de impostos de vendas."
"Outros: Inclui quantias de transação não relacionadas a pedidos. Para obter mais detalhes, consulte as colunas ""Tipo"" e ""Descrição"" para cada ID de pedido."
"data/hora","id de liquidação","tipo","id do pedido","sku","descrição","quantidade","mercado","tipo de conta","atendimento","cidade do pedido","estado do pedido","postal do pedido","vendas do produto","créditos de remessa","créditos de embalagem de presente","descontos promocionais","imposto de vendas coletados","tarifas de venda","taxas fba","taxas de outras transações","outro","total"
"24 de fev. de 2026 09:10:30 GMT-8","25804998831","Serviços de Envio","702-2217779-5930632","","Tarifa de manuseio com base no peso Delivery by Amazon","","Amazon.com.br","Crédito Mastercard e outros","Vendedor","","","","0","0","0","0","0","0","0","-6,75","0","-6,75"
"24 de fev. de 2026 09:10:30 GMT-8","25804998831","Serviços de Envio","702-2217779-5930632","","Estorno do frete pago pelo comprador","","Amazon.com.br","Crédito Mastercard e outros","Vendedor","","","","0","0","0","0","0","0","0","0","0","0"
"24 de fev. de 2026 12:03:53 GMT-8","25804998831","Reembolso","701-9771500-6465843","RA-KICF-0Q47","Caderno Preto 20x20cm - Scrapbook Álbum De Fotos Preto 20 Folhas / 40 Páginas - Gramatura 200, Folhas Grossas","3","amazon.com.br","Crédito Mastercard e outros","Vendedor","brasilia","distrito federal","70670","-176,70","0","0","0","0","16,97","0","0","0","-159,73"
"24 de fev. de 2026 13:59:32 GMT-8","25804998831","Taxa de serviço","","","Cadastro","","Amazon.com.br","Crédito Mastercard e outros","","","","","0","0","0","0","0","0","0","0","-19,00","-19,00"
"25 de fev. de 2026 00:54:06 GMT-8","25805549661","Pedido","701-1664019-3990641","YL-NANJ-F7TC","Caderno Preto 20x20cm - Scrapbook Álbum De Fotos Preto 20 Folhas / 40 Páginas - Gramatura 200, Folhas Grossas","1","amazon.com.br","Boleto","Amazon","Jaú","SP","17208","68,90","0","0","0","0","-8,27","-5,00","0","0","55,63"
"25 de fev. de 2026 05:08:38 GMT-8","25805549661","Pedido","702-5050488-6749025","BT-HCTV-ZOJY","Planner 2026 Napolitano - Planejamento Anual com Roda da Vida A5, Gestão Financeira, Organização Pessoal, Metas e Saúde, Capa Dura Laminada, Agend","1","amazon.com.br","Boleto","Vendedor","Braço do Norte","SC","88750","59,90","0","0","0","0","-7,79","0","0","0","52,11"
"25 de fev. de 2026 06:40:42 GMT-8","25804998831","Pedido","701-3284841-2355434","YL-NANJ-F7TC","Caderno Preto 20x20cm - Scrapbook Álbum De Fotos Preto 20 Folhas / 40 Páginas - Gramatura 200, Folhas Grossas","2","amazon.com.br","Crédito Mastercard e outros","Amazon","Boa Vista","RR","69310","137,80","2,61","0","-2,61","0","-16,54","-10,00","0","0","111,26"
"25 de fev. de 2026 07:46:19 GMT-8","25805549661","Pedido","701-4972013-2856253","FC-4UI1-425Z","Caderno Scrapbook - 20 Folhas - Livro De Assinatura Folhas Pretas 20x19 Álbum De Fotos Scrapbook Preto 40 Páginas - 20x19","1","amazon.com.br","Boleto","Vendedor","Nova Trento","SC","88270","72,90","0","0","0","0","-8,75","0","0","0","64,15"
"25 de fev. de 2026 08:53:26 GMT-8","25804998831","Serviços de Envio","702-9849473-6745027","","Tarifa de manuseio com base no peso Delivery by Amazon","","Amazon.com.br","Crédito Mastercard e outros","Vendedor","","","","0","0","0","0","0","0","0","-12,85","0","-12,85"
"25 de fev. de 2026 08:53:26 GMT-8","25804998831","Serviços de Envio","702-9849473-6745027","","Estorno do frete pago pelo comprador","","Amazon.com.br","Crédito Mastercard e outros","Vendedor","","","","0","0","0","0","0","0","0","0","0","0"
